,name,city,ind_num,ind_str,yyyymmdd,lat,long,city_count,city_ind_count
460,KeepTruckin,"San Francisco, California, United States",9,Transportation,2013/01/01,37.7790262,-122.4199061,161,10
479,Zoox,"Foster City, California, United States",9,Transportation,2014/07/29,37.5600336,-122.2688522,3,1
486,Aurora Labs,"Tel Aviv-yafo, Tel Aviv, Israel",9,Transportation,2016/01/01,32.0804808,34.7805274,2,1
495,Shipper,"Jakarta, Jakarta Raya, Indonesia",9,Transportation,2016/01/01,-6.1753942,106.827183,5,1
500,Sennder,"Berlin, Berlin, Germany",9,Transportation,2015/01/01,52.5170365,13.3888599,14,1
522,Via,"New York, New York, United States",9,Transportation,2012/06/26,40.7127281,-74.0060152,112,2
529,Lordstown Motors,"Ohio, Illinois, United States",9,Transportation,2019/01/01,41.5575349,-89.4609276,1,1
570,JD Logistics,"Beijing, Beijing, China",9,Transportation,2007/01/01,39.9020668,116.718583,15,4
580,GeoSpock,"Cambridge, Cambridgeshire, United Kingdom",9,Transportation,2013/01/01,52.2034823,0.1235817,1,1
586,Flash Express,"Bangkok, Krung Thep, Thailand",9,Transportation,2017/01/01,13.7542529,100.493087,2,1
589,Delhivery,"Gurgaon, Haryana, India",9,Transportation,2011/01/01,28.4646148,77.0299194,5,1
605,PayCargo,"Coral Gables, Florida, United States",9,Transportation,2008/11/21,25.72149,-80.2683838,1,1
617,Vroom,"New York, New York, United States",9,Transportation,2013/01/01,40.7127281,-74.0060152,112,2
627,Berkshire Hathaway,"Omaha, Nebraska, United States",9,Transportation,1839-01-01,41.2587459,-95.9383758,1,1
638,Busbud,"Montréal, Quebec, Canada",9,Transportation,2011/10/01,45.4972159,-73.6103642,5,1
645,Arrival,"London, England, United Kingdom",9,Transportation,2015/01/01,51.5073219,-0.1276474,48,1
653,BacklotCars,"Kansas City, Missouri, United States",9,Transportation,2014/05/01,39.100105,-94.5781416,1,1
691,Li Auto,"Beijing, Beijing, China",9,Transportation,2015/01/01,39.9020668,116.718583,15,4
725,Droom,"Haryana, Haryana, India",9,Transportation,2014/01/01,28.4808629,77.0848883,1,1
743,Jupiter,"San Francisco, California, United States",9,Transportation,2019/01/01,37.7790262,-122.4199061,161,10
760,Lineage Logistics,"Novi, Michigan, United States",9,Transportation,2012/01/01,42.48059,-83.4754913,1,1
816,Metromile,"San Francisco, California, United States",9,Transportation,2011/01/19,37.7790262,-122.4199061,161,10
830,Moovit,"Ness Ziona, HaMerkaz, Israel",9,Transportation,2012/02/01,31.92933,34.79868,1,1
873,Momentus Inc.,"Santa Clara, California, United States",9,Transportation,2017/11/01,37.2333253,-121.6846349,15,1
888,General Motors,"Detroit, Michigan, United States",9,Transportation,1908/09/16,42.3315509,-83.0466403,1,1
891,Exotec Solutions,"Lille, Nord-Pas-de-Calais, France",9,Transportation,2015/01/01,50.7215699,1.6033016,1,1
904,LeddarTech,"Quebec, Quebec, Canada",9,Transportation,2007/01/01,46.8259601,-71.2352226,1,1
931,ACV,"Buffalo, New York, United States",9,Transportation,2014/01/01,42.8867166,-78.8783922,1,1
934,Zebra Technologies,"Lincolnshire, Illinois, United States",9,Transportation,1991/01/01,42.1900249,-87.9084039,1,1
972,Faraday Future,"Gardena, California, United States",9,Transportation,2014/04/01,33.8963593,-118.3053037,1,1
974,Shippeo,"Paris, Ile-de-France, France",9,Transportation,2014/01/01,48.8566969,2.3514616,10,1
